#OTU_ID	BIOME110807	BIOME110803	BIOME111127	BIOME111123	BIOME109532	BIOME104803	BIOME109536	BIOME104766	BIOME104762	BIOME109020	BIOME109921	BIOME109028	BIOME110446	BIOME110442	BIOME109040	BIOME109048	BIOME111135	BIOME109528	BIOME104778	BIOME111226	BIOME109520	BIOME104770	BIOME109524	BIOME104774	BIOME110691	BIOME110510	BIOME110695	BIOME110514	BIOME110699	BIOME109913	BIOME110518	BIOME109917	BIOME109036	BIOME110450	BIOME109032	BIOME110454	BIOME110921	BIOME110458	BIOME111300	BIOME111304	BIOME111147	BIOME111143	BIOME111256	BIOME109516	BIOME109299	BIOME109291	BIOME109287	BIOME110426	BIOME110819	BIOME110422	BIOME109864	BIOME110811	BIOME109860	BIOME110815	BIOME111151	BIOME109872	BIOME104795	BIOME109876	BIOME104791	BIOME110867	BIOME110438	BIOME111272	BIOME109575	BIOME110482	BIOME109571	BIOME110522	BIOME109884	BIOME110526	BIOME109880	BIOME110879	BIOME110875	BIOME110871	BIOME111264	BIOME111260	BIOME109868	BIOME109567	BIOME109583	BIOME110799	BIOME109587	BIOME110719	BIOME110847	BIOME110715	BIOME110711	BIOME109950	BIOME109307	BIOME109303	BIOME109551	BIOME109555	BIOME111107	BIOME109942	BIOME110703	BIOME109946	BIOME110707	BIOME109007	BIOME110462	BIOME109004	BIOME110913	BIOME110466	BIOME109701	BIOME111131	BIOME109705	BIOME109709	BIOME109544	BIOME109540	BIOME111111	BIOME111115	BIOME111222	BIOME104758	BIOME109934	BIOME110909	BIOME109016	BIOME110901	BIOME109938
Thermobifida_cellulosilytica	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	1	0	1	0	2	0	2	0	0	2	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	3	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	2	1	0	1	0	1	0	1	0	1	1	0	0	0
Bacteroides_sp.1-1-30	7	2	9	0	2	3	14	5	5	24	11	0	136	177	0	4	6	5	8	27	0	2	1	4	47	22	0	1	6	0	3	0	19	5	3	3	20	4	3	14	11	6	3	13	4	3	56	2	1	6	6	11	0	4	9	0	17	0	52	1	1	14	0	2	51	33	42	7	8	189	0	17	8	233	0	1	23	4	2	74	2	0	8	0	2	45	5	3	5	5	0	5	210	0	5	1	10	15	4	1	3	0	1	10	9	2	45	1	9	13	4	8	0
Clostridium_kluyveri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus_obeum	1409	2419	184	416	265	669	104	58	457	279	20	1527	440	70	78	52	275	21	28	208	1506	123	784	38	40	184	2717	91	1019	1968	32	26	386	546	1318	107	268	16	37	138	48	56	537	66	76	22	304	1	2	1326	480	59	777	70	20	164	1608	613	611	96	19	72	14	800	932	757	2815	14	550	476	270	176	989	695	1	117	698	931	137	46	555	7	9	1051	153	13	402	27	458	145	851	583	822	323	1953	982	141	413	812	118	8	100	137	6	1203	379	192	844	801	347	1369	145	70
Erwinia_pyrifoliae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_sp.3-1-23	1	1	0	0	1	4	15	6	1	25	5	0	5	10	3	2	19	4	4	15	0	3	0	4	6	4	0	1	8	1	64	0	6	7	1	4	19	4	24	1	6	5	1	0	0	39	36	0	0	16	7	69	0	2	4	1	2	4	12	0	6	17	9	2	18	17	3	8	2	7	0	23	2	15	0	0	1	6	2	5	0	0	0	1	0	6	0	3	13	10	1	1	16	2	0	0	3	10	0	9	8	0	1	3	8	1	7	2	1	6	5	14	0
Lactobacillus_salivarius	0	0	1	0	0	0	0	0	0	4	0	238	0	0	0	0	0	0	0	0	34	0	0	0	8	0	104	0	0	600	0	0	0	0	8	0	0	0	0	0	8	0	0	24	14	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
Clostridium_sp.SS2/1	27	28	38	57	38	59	12	20	5	10	3	42	13	1	42	5	78	4	11	24	40	71	9	5	4	12	51	72	39	61	21	3	24	6	16	0	46	1	79	24	14	0	15	9	7	51	31	0	1	10	27	41	30	3	4	119	62	2	100	44	51	3	1	25	51	30	14	1	18	21	4	21	13	19	0	65	28	30	67	9	53	0	2	20	11	1	7	2	4	1	20	18	21	3	3	25	23	41	21	25	3	110	64	0	33	33	13	2	18	102	75	1	0
Streptococcus_gallolyticus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_sp.HGA1	7	2	2	6	13	10	2	11	0	1	4	1	0	0	3	3	0	5	8	19	2	6	0	23	0	3	13	7	1	1	49	0	7	1	8	20	7	51	21	3	0	16	6	2	1	79	0	0	1	2	1	45	1	5	3	6	22	9	39	7	28	3	13	6	9	14	21	7	1	4	2	12	0	19	0	7	15	2	14	0	2	1	0	3	1	0	0	9	1	3	2	2	8	0	22	0	0	1	5	0	1	9	2	2	0	3	3	0	2	10	10	3	1
Peptoniphilus_harei	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_cf.saccharolyticumK10	6	3	0	0	0	1	9	1	2	0	6	0	5	1	1	5	3	3	7	2	5	0	2	5	5	2	9	0	5	3	6	0	0	3	1	8	10	5	1	0	0	2	2	3	0	3	1	0	2	1	2	8	1	5	7	1	1	1	1	0	3	10	1	5	1	3	4	2	0	4	0	0	2	8	0	0	1	2	0	1	2	1	9	2	2	0	0	4	0	2	0	1	9	1	0	5	1	10	0	1	5	1	0	7	2	3	0	1	1	2	7	1	1
Ruminococcus_sp.SR1/5	1655	236	504	3169	1639	1300	395	810	132	419	5	364	83	10	1186	24	1137	12	25	541	666	1966	301	18	575	238	1964	1555	672	1271	12	414	436	1636	8	79	5357	20	10	849	644	18	546	894	1196	5	685	2	8	381	783	13	933	591	11	3080	2036	182	830	1757	12	32	2	1572	1227	1766	635	2	1035	1254	191	2705	2292	2638	0	2469	1083	1317	2692	46	1158	171	34	2399	327	176	169	29	398	2741	1447	1781	3016	202	93	369	131	684	879	369	6	2502	2139	33	680	808	234	150	337	837	965	3019	1446
Anaerotruncus_colihominis	24	10	62	15	40	23	16	5	23	44	67	4	1	2	5	2	31	33	11	2	13	0	13	17	11	25	11	3	5	6	33	2	31	10	3	13	32	14	9	2	4	14	8	12	8	33	9	0	1	15	13	23	19	18	5	6	13	3	37	4	9	4	5	12	50	28	88	35	16	33	2	14	26	32	0	3	20	8	17	12	11	0	5	1	4	13	8	15	17	5	8	12	14	10	14	12	2	12	30	16	4	2	11	9	7	14	3	17	6	28	36	4	1
Coprobacillus_	0	1	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	4	5	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0
Campylobacter_jejuni	2	6	7	15	3	16	2	2	0	6	0	1	0	0	1	1	1	0	1	5	2	1	0	2	27	0	5	3	5	2	8	33	1	3	3	0	1	0	16	20	97	2	7	19	84	18	2	0	0	0	3	10	13	93	2	3	2	1	5	1	6	1	2	25	3	1	1	1	1	0	1	1	1	2	0	5	2	1	2	0	15	0	0	1	1	8	0	3	11	1	6	0	3	0	14	1	1	12	9	2	0	7	3	0	5	12	0	1	1	18	2	5	0
Peptostreptococcus_anaerobius	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia_enterocolitica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_sp.4-1-40B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Clostridium_sp.7-3-54FAA	7	5	8	0	5	3	1	5	2	0	34	2	0	0	10	5	5	18	10	2	2	8	6	4	10	2	3	7	4	1	7	1	10	2	2	11	1	2	8	11	7	15	5	3	1	5	2	0	0	2	5	19	5	2	0	1	12	4	9	13	4	18	5	8	16	15	6	2	3	2	1	10	12	25	0	7	9	0	3	6	8	4	0	2	7	3	1	13	27	14	1	7	16	1	13	1	3	11	12	3	0	4	7	0	4	3	14	4	4	8	11	28	9
Granulicoccus_phenolivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Propionibacterium_acidipropionici	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shigella_boydii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	1	1	0	0	0	7	0	6	10	1	0	0	0	0	0	0	0	0	21	0	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
